JDC,PARISH,AGE,CHARGE,Victim Crime
1,CADDO,33 years,RS 14:30.1 Second Degree Murder,
1,CADDO,49 years,RS 14:30.1 Second Degree Murder,
1,CADDO,65 years,RS 14:30.1 Second Degree Murder,
1,CADDO,67 years,RS 14:30.1 Second Degree Murder,
1,CADDO,32 years,RS 14:30.1 Second Degree Murder,
1,CADDO,72 years,RS 14:30.1 Second Degree Murder,
1,CADDO,52 years," RS 40:967 Distribution of a Schedule 2 Drug, RS 14:108.1. Flight from an officer; aggravated flight from an officer",
1,CADDO,49 years,RS 14:30.1 Second Degree Murder,
1,CADDO,34 years,RS 14:30.1 Second Degree Murder,
1,CADDO,52 years,RS 14:30.1 Second Degree Murder,
1,CADDO,42 years,RS 14:30.1 Second Degree Murder,
1,CADDO,34 years,RS 14:30.1 Second Degree Murder,
1,CADDO,64 years,RS 14.42 Aggravated Rape / First Degree Rape,
1,CADDO,50 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
1,CADDO,51 years,RS 14.42 Aggravated Rape / First Degree Rape,
1,CADDO,41 years,RS 14:30.1 Second Degree Murder,
1,CADDO,53 years,RS 14:30.1 Second Degree Murder,
1,CADDO,65 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:64 Armed Robbery, RS 14:89.1 Aggravated crime against nature, Rs 14:54 Simple Kidnapping",
1,CADDO,48 years,RS 14:30.1 Second Degree Murder,
1,CADDO,50 years,RS 14:30.1 Second Degree Murder,
1,CADDO,32 years,RS 14:30.1 Second Degree Murder,
1,CADDO,64 years,"RS 14:64 Armed Robbery, RS 14.42 Aggravated Rape / First Degree Rape, RS 14:89.1 Aggravated crime against nature",
1,CADDO,67 years,RS 14:30.1 Second Degree Murder,
1,CADDO,70 years,RS 14:30.1 Second Degree Murder,
1,CADDO,48 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
1,CADDO,29 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt / 14.31 Manslaughter",
1,CADDO,68 years, RS 40:967 Distribution of a Schedule 2 Drug,No
1,CADDO,34 years,RS 14:30.1 Second Degree Murder,
1,CADDO,43 years,RS 14:30.1 Second Degree Murder,
1,CADDO,46 years,RS 14:30.1 Second Degree Murder,
1,CADDO,32 years,RS 14:30.1 Second Degree Murder,
1,CADDO,50 years,"RS 14:64 Armed Robbery, RS 14:27 Attempt/14:30.1 Second Degree Murder",
1,CADDO,63 years,"RS 14:34 Aggravated Battery, RS 14.42 Aggravated Rape / First Degree Rape",
1,CADDO,50 years,"RS 14:64 Armed Robbery, RS 14:27 Attempt/14:30.1 Second Degree Murder",
1,CADDO,45 years,RS 14:64 Armed Robbery,
1,CADDO,47 years,RS 14:64 Armed Robbery,
1,CADDO,34 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:81.2 Molestation of a juvenile",
1,CADDO,52 years,RS 14:108.1. Flight from an officer; aggravated flight from an officer,
1,CADDO,53 years,RS 14.31 Manslaughter,
1,CADDO,40 years,RS 14:30.1 Second Degree Murder,
1,CADDO,59 years,RS 14:64.1 First Degree Robbery,
1,CADDO,67 years,RS 14:30.1 Second Degree Murder,
1,CADDO,53 years,RS 14:30.1 Second Degree Murder,
1,CADDO,36 years,RS 14:30.1 Second Degree Murder,
1,CADDO,65 years,RS 14:30.1 Second Degree Murder,
1,CADDO,48 years,RS 14:64.4 Second Degree Robbery,
1,CADDO,64 years,RS 14:64 Armed Robbery,
1,CADDO,54 years,RS 14:42.1 - Second degree rape / Forcible rape,
1,CADDO,47 years,"RS 14:64 Armed Robbery, RS 14:44.1 — Second degree kidnapping",
1,CADDO,60 years,RS 14:60 Aggravated Burglary,
1,CADDO,33 years,RS 14:64 Armed Robbery,
1,CADDO,41 years,RS 14:64 Armed Robbery,
1,CADDO,45 years,"RS 14:95.1 Felon in Possession of a Firearm, RS 14:94 Illegal Use of Weapons During a Crime of Violence",
1,CADDO,74 years,RS 14:30.1 Second Degree Murder,
1,CADDO,62 years,"RS 14:64 Armed Robbery, RS 14:44.1 — Second degree kidnapping",
1,CADDO,41 years,"RS 14:44.1 — Second degree kidnapping, RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:27 Attempt / RS 14:60 aggravated burglary",
1,CADDO,49 years,RS 14:30.1 Second Degree Murder,
1,CADDO,47 years,RS 14:64 Armed Robbery,
1,CADDO,44 years,RS 14.31 Manslaughter,
1,CADDO,45 years,RS 14:64 Armed Robbery,
1,CADDO,47 years,"RS 14:44.1 — Second degree kidnapping, RS 14.27 Attempt/ 14:30 First Degree",
1,CADDO,67 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
1,CADDO,57 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
1,CADDO,59 years,RS 14:44.1 — Second degree kidnapping,
1,CADDO,47 years,RS 14:30.1 Second Degree Murder,
1,CADDO,29 years,RS 14:43 Simple (Third Degree) Rape,
1,CADDO,64 years,RS 14.42 Aggravated Rape / First Degree Rape,
1,CADDO,34 years,RS 14.31 Manslaughter,
1,CADDO,47 years,"RS 14:64 Armed Robbery, RS 14:27 Attempt/14:30.1 Second Degree Murder",
1,CADDO,65 years,"RS 14:64 Armed Robbery, RS 14.42 Aggravated Rape / First Degree Rape, RS 14:89.1 Aggravated crime against nature",
1,CADDO,45 years,RS 14:27 Attempt/ 14:34 Armed Robbery,
1,CADDO,53 years,RS 14:30.1 Second Degree Murder,
1,CADDO,56 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
1,CADDO,46 years,RS 14.31 Manslaughter,
1,CADDO,55 years,RS 14.42 Aggravated Rape / First Degree Rape,
1,CADDO,48 years,RS 14:30.1 Second Degree Murder,
1,CADDO,73 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14.27 Attempt/ 14:30 First Degree",
1,CADDO,49 years,RS 14:64 Armed Robbery,
1,CADDO,65 years,RS 14:30.1 Second Degree Murder,
1,CADDO,29 years,RS 14.31 Manslaughter,
1,CADDO,44 years,RS 14:64 Armed Robbery,
1,CADDO,Invalid date,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:60 Aggravated Burglary",
1,CADDO,37 years,RS 14:64 Armed Robbery,
1,CADDO,70 years,RS 14:81.2 Molestation of a juvenile,
1,CADDO,42 years,RS 14:30.1 Second Degree Murder,
1,CADDO,Invalid date,RS 14.42 Aggravated Rape / First Degree Rape,
1,CADDO,45 years,RS 14:64 Armed Robbery,
1,CADDO,53 years,RS 14:64 Armed Robbery,
2,BIENVILLE,85 years,RS 14:30.1 Second Degree Murder,
2,CLAIBORNE,66 years,RS 14:30.1 Second Degree Murder,
