geoid,parish,estimate
22001,Acadia Parish,57218
22003,Allen Parish,22552
22005,Ascension Parish,128593
22007,Assumption Parish,20720
22009,Avoyelles Parish,39176
22011,Beauregard Parish,36646
22013,Bienville Parish,12769
22015,Bossier Parish,129134
22017,Caddo Parish,232973
22019,Calcasieu Parish,208668
22021,Caldwell Parish,9563
22023,Cameron Parish,5222
22025,Catahoula Parish,8738
22027,Claiborne Parish,14019
22029,Concordia Parish,18325
22031,De Soto Parish,26897
22033,East Baton Rouge Parish,452821
22035,East Carroll Parish,7195
22037,East Feliciana Parish,19378
22039,Evangeline Parish,32162
22041,Franklin Parish,19590
22043,Grant Parish,22123
22045,Iberia Parish,69194
22047,Iberville Parish,29950
22049,Jackson Parish,14939
22051,Jefferson Parish,432484
22053,Jefferson Davis Parish,32083
22055,Lafayette Parish,245075
22057,Lafourche Parish,96670
22059,LaSalle Parish,14804
22061,Lincoln Parish,48160
22063,Livingston Parish,145583
22065,Madison Parish,9757
22067,Morehouse Parish,24967
22069,Natchitoches Parish,37047
22071,Orleans Parish,376035
22073,Ouachita Parish,158916
22075,Plaquemines Parish,23070
22077,Pointe Coupee Parish,20438
22079,Rapides Parish,128470
22081,Red River Parish,7529
22083,Richland Parish,19908
22085,Sabine Parish,22085
22087,St. Bernard Parish,44172
22089,St. Charles Parish,51863
22091,St. Helena Parish,10849
22093,St. James Parish,19797
22095,St. John the Baptist Parish,41342
22097,St. Landry Parish,82128
22099,St. Martin Parish,51559
22101,St. Mary Parish,48455
22103,St. Tammany Parish,269331
22105,Tangipahoa Parish,135218
22107,Tensas Parish,3992
22109,Terrebonne Parish,107362
22111,Union Parish,20914
22113,Vermilion Parish,57031
22115,Vernon Parish,47764
22117,Washington Parish,45238
22119,Webster Parish,36189
22121,West Baton Rouge Parish,27666
22123,West Carroll Parish,9622
22125,West Feliciana Parish,15381
22127,Winn Parish,13506
