id,sentence_id,jdc,parish,age,conviction_date,charge,state_crime_id,charge_clean_full
1,1,1,CADDO,33,2011-02-10,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
2,1,1,CADDO,49,2013-09-24,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
3,1,1,CADDO,65,1992-03-11,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
4,1,1,CADDO,67,2001-05-11,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
5,1,1,CADDO,32,2014-06-12,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
6,1,1,CADDO,72,1993-12-02,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
7,1,1,CADDO,52,2001-08-28,RS 40:967 Distribution Of A Schedule 2 Drug,RS 40:967,Distribution Of A Schedule 2 Drug
7,2,1,CADDO,52,2001-08-28,RS 14:108.1. Flight From An Officer; Aggravated Flight From An Officer,RS 14:108.1.,Flight From An Officer; Aggravated Flight From An Officer
8,1,1,CADDO,49,2006-11-17,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
9,1,1,CADDO,34,2011-05-25,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
10,1,1,CADDO,52,1998-05-26,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
11,1,1,CADDO,42,2007-02-15,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
12,1,1,CADDO,34,2011-07-28,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
13,1,1,CADDO,64,2001-09-16,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
14,1,1,CADDO,50,2008-04-04,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
14,2,1,CADDO,50,2008-04-04,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
15,1,1,CADDO,51,2006-05-12,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
16,1,1,CADDO,41,2009-11-05,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
17,1,1,CADDO,53,2011-10-13,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
18,1,1,CADDO,65,1985-03-04,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
18,2,1,CADDO,65,1985-03-04,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
18,3,1,CADDO,65,1985-03-04,RS 14:89.1 Aggravated Crime Against Nature,RS 14:89.1,Aggravated Crime Against Nature
18,4,1,CADDO,65,1985-03-04,RS 14:54 Simple Kidnapping,RS 14:54,Simple Kidnapping
19,1,1,CADDO,48,1998-08-19,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
20,1,1,CADDO,50,2003-04-30,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
21,1,1,CADDO,32,2013-01-31,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
22,1,1,CADDO,64,1985-04-22,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
22,2,1,CADDO,64,1985-04-22,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
22,3,1,CADDO,64,1985-04-22,RS 14:89.1 Aggravated Crime Against Nature,RS 14:89.1,Aggravated Crime Against Nature
23,1,1,CADDO,67,1999-07-22,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
24,1,1,CADDO,70,2013-05-04,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
25,1,1,CADDO,48,2009-01-09,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
25,2,1,CADDO,48,2009-01-09,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
26,1,1,CADDO,29,2017-11-21,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
26,2,1,CADDO,29,2017-11-21,RS 14:27 Attempt; RS 14.31 Manslaughter,RS 14:27; RS 14.31,Attempt; Manslaughter
27,1,1,CADDO,68,2011-03-23,RS 40:967 Distribution Of A Schedule 2 Drug,RS 40:967,Distribution Of A Schedule 2 Drug
28,1,1,CADDO,34,2009-08-28,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
29,1,1,CADDO,43,2001-05-10,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
30,1,1,CADDO,46,1999-03-09,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
31,1,1,CADDO,32,2013-01-31,RS 14:30.1 Second Degree Murder,RS 14:30.1,Second Degree Murder
32,1,1,CADDO,50,1999-06-23,RS 14:64 Armed Robbery,RS 14:64,Armed Robbery
32,2,1,CADDO,50,1999-06-23,RS 14:27 Attempt; RS 14:30.1 Second Degree Murder,RS 14:27; RS 14:30.1,Attempt; Second Degree Murder
33,1,1,CADDO,63,1986-07-01,RS 14:34 Aggravated Battery,RS 14:34,Aggravated Battery
33,2,1,CADDO,63,1986-07-01,"RS 14.42 Aggravated Rape, First Degree Rape",RS 14.42,"Aggravated Rape, First Degree Rape"
